10,13.339709520339966
20,31.298556804656982
30,48.67975878715515
40,81.49889707565308
50,112.2794861793518
60,145.30547165870667
70,193.33814930915833
80,254.09864115715027
90,338.63472986221313
100,409.1904194355011
150,534.8835747241974
200,666.0965855121613
250,855.5065340995789
300,1069.2961955070496
350,1322.732417345047
400,1619.9095196723938
450,1946.0113570690155
500,2294.466346502304
550,2695.764767885208
600,3100.3846547603607
650,3553.100137233734
700,4101.237245559692
750,4625.178954124451
800,5202.8642835617065
850,5793.123602390289
900,6428.303835630417
950,7101.03026676178
1000,7777.879960298538
2000,9231.734389781952
3000,11357.558164596558
4000,14121.308953762054
5000,17536.374509572983
6000,21586.640910863876
7000,26363.22998189926
8000,31863.655940532684
9000,38091.281754016876
10000,45840.37885284424
