10,0.2937617301940918
20,0.8999190330505371
30,0.959491491317749
40,1.026888132095337
50,1.1141302585601807
60,1.2127296924591064
70,1.3354706764221191
80,1.4804120063781738
90,1.6365141868591309
100,1.8105828762054443
150,2.0643551349639893
200,2.4082069396972656
250,2.8532614707946777
300,3.3780434131622314
350,3.9774084091186523
400,4.6608405113220215
450,5.408214330673218
500,6.264050722122192
550,7.211304426193237
600,8.25175166130066
650,9.367120027542114
700,10.548734426498413
750,11.835413455963135
800,13.210855722427368
850,14.642883777618408
900,16.180601596832275
950,17.826351642608643
1000,19.541866779327393
2000,23.031333208084106
3000,28.246121644973755
4000,35.187729597091675
5000,43.811636447906494
6000,54.14393186569214
7000,66.33855438232422
8000,80.28720545768738
9000,95.96375942230225
10000,113.71585273742676
20000,149.1069860458374
30000,202.92436838150024
40000,274.25320386886597
50000,360.8484387397766
60000,460.4485864639282
70000,576.3582406044006
80000,708.7555966377258
90000,857.2736058235168
100000,1022.4648759365082
